yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,payroll
2013,NL,CHN,CHC,C,5,162,81,66,96,N,N,N,N,602,5498,1307,297,18,172,439,1230,63,32,67,30,689,643,4,3,6,39,4344,1332,160,540,1184,100,129,0.983,Chicago Cubs,Wrigley Field,2642682,104,105,CHC,CHN,CHN,100567726
2013,NL,CIN,CIN,C,3,162,80,90,72,N,Y,N,N,698,5499,1370,274,20,155,585,1245,67,35,76,46,589,554,3.38,5,17,43,4421,1294,170,435,1296,76,131,0.988,Cincinnati Reds,Great American Ball Park,2534369,103,102,CIN,CIN,CIN,106404462
2013,AL,CLE,CLE,C,2,162,81,92,70,N,Y,N,N,745,5465,1391,290,23,171,562,1283,117,36,51,56,662,611,3.82,3,16,38,4324,1359,147,554,1379,98,135,0.983,Cleveland Indians,Progressive Field,1572926,93,94,CLE,CLE,CLE,75771800
2013,NL,COL,COL,W,5,162,81,74,88,N,N,N,N,706,5599,1511,283,36,159,427,1204,112,32,26,35,760,708,4.44,1,5,35,4308,1545,136,517,1064,90,162,0.986,Colorado Rockies,Coors Field,2793828,117,118,COL,COL,COL,74409071
2013,AL,DET,DET,C,1,162,81,93,69,Y,N,N,N,796,5735,1625,292,23,176,531,1073,35,20,43,47,624,587,3.61,3,12,39,4388,1369,128,462,1428,76,136,0.987,Detroit Tigers,Comerica Park,3083397,106,105,DET,DET,DET,145989500
2013,AL,HOU,HOU,W,5,162,81,51,111,N,N,N,N,610,5457,1307,266,16,148,426,1535,110,61,52,38,848,766,4.79,2,5,32,4320,1530,191,616,1084,125,168,0.979,Houston Astros,Minute Maid Park,1651883,99,101,HOU,HOU,HOU,17890700
2013,AL,KCA,KCR,C,3,162,81,86,76,N,N,N,N,648,5549,1443,254,34,112,422,1048,153,32,42,42,601,555,3.45,5,12,52,4345,1366,155,469,1208,85,136,0.986,Kansas City Royals,Kauffman Stadium,1750754,103,103,KCR,KCA,KCA,80091725
2013,AL,LAA,ANA,W,3,162,81,78,84,N,N,N,N,733,5588,1476,270,39,164,523,1221,82,34,48,64,737,685,4.23,4,12,41,4373,1475,167,533,1200,112,135,0.981,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3019505,94,94,LAA,ANA,ANA,124174750
2013,NL,LAN,LAD,W,1,162,81,92,70,Y,N,N,N,649,5491,1447,281,17,138,476,1146,78,28,57,48,582,524,3.25,7,22,46,4351,1321,127,460,1292,109,160,0.982,Los Angeles Dodgers,Dodger Stadium,3743527,95,95,LAD,LAN,LAN,223362196
2013,NL,MIA,FLA,E,5,162,81,62,100,N,N,N,N,513,5449,1257,219,31,95,432,1232,78,29,56,26,646,602,3.71,2,13,36,4380,1376,121,526,1177,88,144,0.986,Miami Marlins,Marlins Park,1586322,102,103,MIA,FLO,MIA,33601900
2013,NL,MIL,MIL,C,4,162,81,74,88,N,N,N,N,640,5474,1381,238,43,157,407,1183,142,50,71,35,687,615,3.84,4,15,40,4328,1401,175,466,1125,114,153,0.981,Milwaukee Brewers,Miller Park,2531105,105,105,MIL,ML4,MIL,76947033
2013,AL,MIN,MIN,C,4,162,81,66,96,N,N,N,N,614,5564,1346,285,15,151,533,1430,52,33,52,32,788,733,4.55,1,7,40,4351,1591,168,458,985,81,178,0.987,Minnesota Twins,Target Field,2477644,99,101,MIN,MIN,MIN,75337500
2013,AL,NYA,NYY,E,4,162,81,85,77,N,N,N,N,650,5449,1321,247,24,144,466,1214,115,31,57,36,671,633,3.94,7,10,49,4342,1452,171,437,1233,69,139,0.988,New York Yankees,Yankee Stadium III,3279589,102,101,NYY,NYA,NYA,231978886
2013,NL,NYN,NYM,E,4,162,81,74,88,N,N,N,N,619,5559,1318,263,32,130,512,1384,114,35,51,32,684,618,3.77,4,10,40,4430,1442,152,458,1209,93,127,0.985,New York Mets,Citi Field,2135657,94,95,NYM,NYN,NYN,49448346
2013,AL,OAK,OAK,W,1,162,81,96,66,Y,N,N,N,767,5521,1403,301,25,186,573,1178,74,28,45,49,625,574,3.56,6,13,46,4356,1339,163,428,1183,97,112,0.983,Oakland Athletics,O.co Coliseum,1809302,95,93,OAK,OAK,OAK,60132500
2013,NL,PHI,PHI,E,4,162,81,73,89,N,N,N,N,610,5456,1355,255,32,140,417,1205,73,29,53,31,749,689,4.32,6,3,32,4309,1465,152,506,1199,97,141,0.984,Philadelphia Phillies,Citizens Bank Park,3012403,101,102,PHI,PHI,PHI,169863189
2013,NL,PIT,PIT,C,2,162,81,94,68,N,Y,N,N,634,5486,1346,273,35,161,469,1330,94,42,88,29,577,533,3.26,3,16,55,4412,1299,101,515,1261,106,154,0.984,Pittsburgh Pirates,PNC Park,2256862,94,94,PIT,PIT,PIT,77062000
2013,NL,SDN,SDP,W,3,162,81,76,86,N,N,N,N,618,5517,1349,246,26,146,467,1309,118,34,52,34,700,643,3.98,3,6,40,4365,1407,156,525,1171,83,140,0.986,San Diego Padres,Petco Park,2166691,91,91,SDP,SDN,SDN,65585500
2013,AL,SEA,SEA,W,4,162,81,71,91,N,N,N,N,624,5558,1318,249,17,188,529,1353,49,23,31,28,754,702,4.31,4,14,43,4395,1467,174,478,1297,88,149,0.986,Seattle Mariners,Safeco Field,1761546,92,92,SEA,SEA,SEA,74005043
2013,NL,SFN,SFG,W,4,162,82,76,86,N,N,N,N,629,5552,1446,280,35,107,469,1078,67,26,39,42,691,643,4,2,13,41,4342,1380,145,521,1256,107,128,0.982,San Francisco Giants,AT&T Park,3326796,90,89,SFG,SFN,SFN,140180334
2013,NL,SLN,STL,C,1,162,81,97,65,Y,N,Y,N,783,5557,1494,322,20,125,481,1110,45,22,64,44,596,555,3.42,7,15,44,4379,1366,112,451,1254,75,177,0.988,St. Louis Cardinals,Busch Stadium III,3369769,99,97,STL,SLN,SLN,92260110
2013,AL,TBA,TBD,E,2,163,81,92,71,N,Y,N,N,700,5538,1421,296,23,165,589,1171,73,38,36,55,646,608,3.74,9,17,42,4392,1315,153,482,1310,59,147,0.99,Tampa Bay Rays,Tropicana Field,1510300,96,95,TBR,TBA,TBA,52955272
2013,AL,TEX,TEX,W,2,163,82,91,72,N,N,N,N,730,5585,1465,262,23,176,462,1067,149,46,61,42,636,589,3.62,4,10,46,4390,1370,157,498,1309,86,146,0.986,Texas Rangers,Rangers Ballpark in Arlington,3178273,104,103,TEX,TEX,TEX,112522600
2013,AL,TOR,TOR,E,5,162,81,74,88,N,N,N,N,712,5537,1398,273,24,185,510,1123,112,41,38,38,756,685,4.25,4,11,39,4356,1451,195,500,1208,111,145,0.982,Toronto Blue Jays,Rogers Centre,2536562,102,102,TOR,TOR,TOR,126288100
2013,NL,WAS,WSN,E,2,162,81,86,76,N,N,N,N,656,5436,1365,259,27,161,464,1192,88,28,40,39,626,576,3.59,6,13,47,4337,1367,142,405,1236,107,146,0.982,Washington Nationals,Nationals Park,2652422,102,101,WSN,MON,WAS,113703270
2014,NL,ARI,ARI,W,5,162,81,64,98,N,N,N,N,615,5552,1379,259,47,118,398,1165,86,33,43,36,742,683,4.26,2,4,35,4333,1467,154,469,1278,101,147,0.983,Arizona Diamondbacks,Chase Field,2073730,102,102,ARI,ARI,ARI,97861500
2014,NL,ATL,ATL,E,2,162,81,79,83,N,N,N,N,573,5468,1316,240,22,123,472,1369,95,33,43,27,597,547,3.38,5,13,54,4365,1369,121,472,1301,85,143,0.986,Atlanta Braves,Turner Field,2354305,99,99,ATL,ATL,ATL,97609000
2014,AL,BAL,BAL,E,1,162,81,96,66,Y,N,N,N,705,5596,1434,264,16,211,401,1285,44,20,62,36,593,557,3.43,3,13,53,4384,1342,151,472,1174,87,156,0.986,Baltimore Orioles,Oriole Park at Camden Yards,2464473,100,100,BAL,BAL,BAL,103416000
2014,AL,BOS,BOS,E,5,162,81,71,91,N,N,N,N,634,5551,1355,282,20,123,535,1337,63,25,68,52,715,653,4.01,3,7,36,4397,1458,154,482,1213,92,155,0.985,Boston Red Sox,Fenway Park II,2956089,102,101,BOS,BOS,BOS,139019929
2014,AL,CHA,CHW,C,4,162,81,73,89,N,N,N,N,660,5543,1400,279,32,155,417,1362,85,36,60,38,758,687,4.29,3,6,36,4323,1468,140,557,1152,107,170,0.982,Chicago White Sox,U.S. Cellular Field,1650821,100,101,CHW,CHA,CHA,81830500
2014,NL,CHN,CHC,C,5,162,81,73,89,N,N,N,N,614,5508,1315,270,31,157,442,1477,65,40,54,41,707,636,3.91,1,11,37,4390,1398,115,504,1311,103,137,0.983,Chicago Cubs,Wrigley Field,2652113,103,104,CHC,CHN,CHN,65522500
2014,NL,CIN,CIN,C,4,162,81,76,86,N,N,N,N,595,5395,1282,254,20,131,415,1252,122,52,52,37,612,576,3.59,5,13,44,4338,1282,163,507,1290,72,120,0.988,Cincinnati Reds,Great American Ball Park,2476664,98,98,CIN,CIN,CIN,108217500
2014,AL,CLE,CLE,C,3,162,81,85,77,N,N,N,N,669,5575,1411,284,23,142,504,1189,104,27,42,49,653,581,3.56,6,15,40,4405,1398,135,464,1450,116,139,0.981,Cleveland Indians,Progressive Field,1437393,97,97,CLE,CLE,CLE,82151899
2014,NL,COL,COL,W,4,162,81,66,96,N,N,N,N,755,5612,1551,307,41,186,397,1281,85,48,48,48,818,770,4.84,1,4,24,4293,1528,173,531,1074,106,166,0.983,Colorado Rockies,Coors Field,2680329,115,116,COL,COL,COL,95403500
2014,AL,DET,DET,C,1,162,81,90,72,Y,N,N,N,757,5630,1557,325,26,155,443,1144,106,41,44,61,705,648,4.01,5,8,41,4362,1475,127,462,1244,101,153,0.983,Detroit Tigers,Comerica Park,2917209,105,104,DET,DET,DET,152855500
2014,AL,HOU,HOU,W,4,162,81,70,92,N,N,N,N,629,5447,1317,240,19,163,495,1442,122,37,55,36,723,657,4.11,7,3,31,4316,1437,139,484,1137,106,151,0.983,Houston Astros,Minute Maid Park,1751829,101,102,HOU,HOU,HOU,35116300
2014,AL,KCA,KCR,C,2,162,81,89,73,N,Y,Y,N,651,5545,1456,286,29,95,380,985,153,36,53,47,624,565,3.51,3,14,53,4352,1386,128,440,1168,104,122,0.983,Kansas City Royals,Kauffman Stadium,1956482,105,104,KCR,KCA,KCA,74594075
2014,AL,LAA,ANA,W,1,162,81,98,64,Y,N,N,N,773,5652,1464,304,31,155,492,1266,81,39,60,54,630,590,3.58,3,13,46,4448,1307,126,504,1342,83,127,0.986,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3095935,96,95,LAA,ANA,ANA,121988250
2014,NL,LAN,LAD,W,1,162,81,94,68,Y,N,N,N,718,5560,1476,302,38,134,519,1246,138,50,61,43,617,554,3.4,7,16,47,4394,1338,142,429,1373,107,145,0.983,Los Angeles Dodgers,Dodger Stadium,3782337,96,95,LAD,LAN,LAN,217014600
2014,NL,MIA,FLA,E,4,162,81,77,85,N,N,N,N,645,5538,1399,254,36,122,501,1419,58,21,35,39,674,613,3.78,3,16,42,4373,1481,114,458,1190,97,154,0.984,Miami Marlins,Marlins Park,1732283,103,104,MIA,FLO,MIA,41836900
2014,NL,MIL,MIL,C,3,162,81,82,80,N,N,N,N,650,5462,1366,297,28,150,423,1197,102,43,73,37,657,594,3.67,3,9,45,4373,1386,167,431,1246,99,130,0.984,Milwaukee Brewers,Miller Park,2797384,102,103,MIL,ML4,MIL,101217000
2014,AL,MIN,MIN,C,5,162,81,70,92,N,N,N,N,715,5567,1412,316,27,128,544,1329,99,36,53,44,777,728,4.57,2,7,38,4305,1588,147,408,1031,97,136,0.984,Minnesota Twins,Target Field,2250606,102,103,MIN,MIN,MIN,83762500
2014,AL,NYA,NYY,E,2,162,81,84,78,N,N,N,N,633,5497,1349,247,26,147,452,1133,112,26,56,47,664,605,3.75,5,10,48,4359,1392,164,398,1370,92,107,0.984,New York Yankees,Yankee Stadium III,3401624,100,101,NYY,NYA,NYA,197543907
2014,NL,NYN,NYM,E,3,162,81,79,83,N,N,N,N,629,5472,1306,275,19,125,516,1264,101,34,54,44,618,568,3.49,1,11,42,4391,1370,141,509,1303,104,158,0.983,New York Mets,Citi Field,2148808,94,95,NYM,NYN,NYN,85556990
2014,AL,OAK,OAK,W,2,162,81,88,74,N,Y,N,N,729,5545,1354,253,33,146,586,1104,83,20,49,43,572,524,3.22,7,13,31,4390,1269,147,406,1244,111,150,0.982,Oakland Athletics,O.co Coliseum,2003628,99,97,OAK,OAK,OAK,72408400
2014,NL,PHI,PHI,E,5,162,81,73,89,N,N,N,N,619,5603,1356,251,27,125,443,1306,109,26,55,37,687,619,3.79,2,12,40,4405,1396,134,521,1255,83,133,0.987,Philadelphia Phillies,Citizens Bank Park,2423852,100,101,PHI,PHI,PHI,180944967
2014,NL,PIT,PIT,C,2,162,81,88,74,N,Y,N,N,682,5536,1436,275,30,156,520,1244,104,47,78,35,631,562,3.47,2,7,48,4369,1341,128,499,1228,109,148,0.983,Pittsburgh Pirates,PNC Park,2442564,98,97,PIT,PIT,PIT,77178000
2014,NL,SDN,SDP,W,3,162,81,77,85,N,N,N,N,535,5294,1199,224,30,109,468,1294,91,34,41,45,577,523,3.27,4,10,41,4316,1300,117,462,1284,101,124,0.983,San Diego Padres,Petco Park,2195373,91,91,SDP,SDN,SDN,75685700
2014,AL,SEA,SEA,W,3,162,81,87,75,N,N,N,N,634,5450,1328,247,32,136,396,1232,96,42,60,34,554,512,3.17,2,9,51,4356,1240,137,463,1317,82,139,0.986,Seattle Mariners,Safeco Field,2064334,95,95,SEA,SEA,SEA,92531100
2014,NL,SFN,SFG,W,2,162,81,88,74,N,Y,Y,Y,665,5523,1407,257,42,132,427,1245,56,27,43,49,614,564,3.5,8,12,46,4347,1305,133,389,1211,100,155,0.984,San Francisco Giants,AT&T Park,3368697,95,95,SFG,SFN,SFN,163510167
2014,NL,SLN,STL,C,1,162,81,90,72,Y,N,N,N,619,5426,1371,275,21,105,471,1133,57,32,86,39,603,564,3.5,8,23,55,4346,1321,123,470,1221,88,145,0.985,St. Louis Cardinals,Busch Stadium III,3540649,101,100,STL,SLN,SLN,120693000
2014,AL,TBA,TBD,E,4,162,81,77,85,N,N,N,N,612,5516,1361,263,24,117,527,1124,63,27,66,53,625,579,3.56,3,22,37,4391,1292,145,482,1437,88,96,0.985,Tampa Bay Rays,Tropicana Field,1446464,97,97,TBR,TBA,TBA,72689100
2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,112255059
2014,AL,TOR,TOR,E,3,162,81,83,79,N,N,N,N,723,5549,1435,282,24,177,502,1151,78,21,41,40,686,642,4,3,16,45,4329,1400,151,490,1199,87,130,0.985,Toronto Blue Jays,Rogers Centre,2375525,102,102,TOR,TOR,TOR,109920100
2014,NL,WAS,WSN,E,1,162,81,96,66,Y,N,N,N,686,5542,1403,265,27,152,517,1304,101,23,56,41,555,495,3.03,5,19,45,4412,1351,110,352,1288,100,139,0.984,Washington Nationals,Nationals Park,2579389,104,102,WSN,MON,WAS,131983680
2015,NL,ARI,ARI,W,3,162,81,79,83,N,N,N,N,720,5649,1494,289,48,154,490,1312,132,44,33,57,713,659,4.04,1,12,44,4400,1450,182,500,1215,86,146,0.986,Arizona Diamondbacks,Chase Field,2080145,107,106,ARI,ARI,ARI,61834000
2015,NL,ATL,ATL,E,4,162,81,67,95,N,N,N,N,573,5420,1361,251,18,100,471,1107,69,33,44,31,760,698,4.41,3,10,44,4276,1462,170,550,1148,90,186,0.985,Atlanta Braves,Turner Field,2001392,97,97,ATL,ATL,ATL,71781250
2015,AL,BAL,BAL,E,3,162,78,81,81,N,N,N,N,713,5485,1370,246,20,217,418,1331,44,25,51,32,693,646,4.05,0,10,43,4304,1406,174,483,1233,77,134,0.987,Baltimore Orioles,Oriole Park at Camden Yards,2281202,103,104,BAL,BAL,BAL,115044833
2015,AL,BOS,BOS,E,5,162,81,78,84,N,N,N,N,748,5640,1495,294,33,161,478,1148,71,27,46,42,753,694,4.31,3,10,40,4345,1486,178,478,1218,97,148,0.984,Boston Red Sox,Fenway Park II,2880694,104,107,BOS,BOS,BOS,181103400
2015,AL,CHA,CHW,C,4,162,81,76,86,N,N,N,N,622,5533,1381,260,27,136,404,1231,68,42,65,37,701,643,3.98,7,9,37,4358,1443,162,474,1359,101,159,0.983,Chicago White Sox,U.S. Cellular Field,1755810,92,93,CHW,CHA,CHA,112373700
2015,NL,CHN,CHC,C,3,162,81,97,65,N,Y,N,N,689,5491,1341,272,30,171,567,1518,95,37,74,35,608,546,3.36,6,21,48,4384,1276,134,407,1431,111,120,0.982,Chicago Cubs,Wrigley Field,2919122,100,100,CHC,CHN,CHN,115879310
2015,NL,CIN,CIN,C,5,162,81,64,98,N,N,N,N,640,5571,1382,257,27,167,496,1255,134,38,42,40,754,700,4.33,2,8,35,4360,1436,177,544,1252,90,131,0.985,Cincinnati Reds,Great American Ball Park,2419506,101,101,CIN,CIN,CIN,113072286
2015,AL,CLE,CLE,C,3,161,80,81,80,N,N,N,N,669,5439,1395,303,29,141,533,1157,86,28,39,50,640,584,3.67,11,10,38,4298,1274,161,425,1407,79,136,0.987,Cleveland Indians,Progressive Field,1388905,106,106,CLE,CLE,CLE,87663766
2015,NL,COL,COL,W,5,162,81,68,94,N,N,N,N,737,5572,1479,274,49,186,388,1283,97,43,33,34,844,799,5.04,4,4,36,4279,1579,183,579,1112,95,171,0.985,Colorado Rockies,Coors Field,2506789,119,118,COL,COL,COL,95688600
2015,AL,DET,DET,C,5,161,81,74,87,N,N,N,N,689,5605,1515,289,49,151,455,1259,83,51,41,35,803,746,4.64,7,12,35,4341,1491,193,489,1100,86,165,0.986,Detroit Tigers,Comerica Park,2726048,97,98,DET,DET,DET,172284750
2015,AL,HOU,HOU,W,2,162,81,86,76,N,Y,N,N,729,5459,1363,278,26,230,486,1392,121,48,56,43,618,572,3.57,5,13,39,4323,1308,148,423,1280,85,131,0.986,Houston Astros,Minute Maid Park,2153585,97,99,HOU,HOU,HOU,72256200
2015,AL,KCA,KCR,C,1,162,81,95,67,Y,N,Y,Y,724,5575,1497,300,42,139,383,973,104,34,77,47,641,601,3.73,2,8,56,4356,1372,155,489,1160,88,138,0.985,Kansas City Royals,Kauffman Stadium,2708549,104,103,KCR,KCA,KCA,112107025
2015,AL,LAA,ANA,W,3,162,81,85,77,N,N,N,N,661,5417,1331,243,21,176,435,1150,52,34,58,40,675,630,3.94,2,12,46,4322,1355,166,466,1221,93,108,0.984,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3012765,94,95,LAA,ANA,ANA,120005415
2015,NL,LAN,LAD,W,1,162,81,92,70,Y,N,N,N,667,5385,1346,263,26,187,563,1258,59,34,60,30,595,553,3.44,6,21,47,4337,1317,145,395,1396,75,133,0.988,Los Angeles Dodgers,Dodger Stadium,3764815,101,98,LAD,LAN,LAN,215792000
2015,NL,MIA,FLA,E,3,162,81,71,91,N,N,N,N,613,5463,1420,236,40,120,375,1150,112,45,39,40,678,638,4.02,0,12,35,4281,1374,141,508,1152,77,162,0.987,Miami Marlins,Marlins Park,1752235,98,97,MIA,FLO,MIA,68056500
2015,NL,MIL,MIL,C,4,162,81,68,94,N,N,N,N,655,5480,1378,274,34,145,412,1299,84,29,41,34,737,682,4.28,1,7,40,4305,1432,176,517,1260,116,164,0.981,Milwaukee Brewers,Miller Park,2542558,101,101,MIL,ML4,MIL,100850000
2015,AL,MIN,MIN,C,2,162,81,83,79,N,N,N,N,696,5467,1349,277,44,156,439,1264,70,38,40,41,700,653,4.07,2,12,45,4329,1506,163,413,1046,86,150,0.986,Minnesota Twins,Target Field,2220054,103,104,MIN,MIN,MIN,107755000
2015,AL,NYA,NYY,E,2,162,81,87,75,N,Y,N,N,764,5567,1397,272,19,212,554,1227,63,25,63,54,698,652,4.03,3,4,48,4373,1416,182,474,1370,93,135,0.985,New York Yankees,Yankee Stadium III,3193795,99,101,NYY,NYA,NYA,212751957
2015,NL,NYN,NYM,E,1,162,81,90,72,Y,N,Y,N,683,5527,1351,295,17,177,488,1290,51,25,68,32,613,557,3.43,1,14,50,4388,1341,152,383,1337,88,131,0.986,New York Mets,Citi Field,2569753,94,92,NYM,NYN,NYN,96766683
2015,AL,OAK,OAK,W,5,162,81,68,94,N,N,N,N,694,5600,1405,277,46,146,475,1119,78,29,40,38,729,664,4.14,5,15,28,4334,1402,172,474,1179,126,154,0.979,Oakland Athletics,O.co Coliseum,1768175,97,98,OAK,OAK,OAK,79053501
2015,NL,PHI,PHI,E,5,162,81,63,99,N,N,N,N,626,5529,1374,272,37,130,387,1274,88,32,54,29,809,749,4.69,1,7,35,4309,1592,191,488,1153,117,145,0.981,Philadelphia Phillies,Citizens Bank Park,1831080,98,98,PHI,PHI,PHI,111693000
2015,NL,PIT,PIT,C,2,162,81,98,64,N,Y,N,N,697,5631,1462,292,27,140,461,1322,98,45,89,41,596,532,3.21,0,13,54,4469,1392,110,453,1338,122,177,0.981,Pittsburgh Pirates,PNC Park,2498596,99,97,PIT,PIT,PIT,88892499
2015,NL,SDN,SDP,W,4,162,81,74,88,N,N,N,N,650,5457,1324,260,36,148,426,1327,82,29,40,42,731,655,4.09,1,6,41,4321,1371,171,516,1393,92,138,0.985,San Diego Padres,Petco Park,2459742,98,97,SDP,SDN,SDN,118441300
2015,AL,SEA,SEA,W,4,162,81,76,86,N,N,N,N,656,5544,1379,262,22,198,478,1336,69,45,36,35,726,677,4.16,6,12,45,4389,1430,181,491,1283,94,155,0.985,Seattle Mariners,Safeco Field,2193581,92,94,SEA,SEA,SEA,122208700
2015,NL,SFN,SFG,W,2,162,81,84,78,N,N,N,N,696,5565,1486,288,39,136,457,1159,93,36,49,37,627,597,3.72,7,18,41,4333,1344,155,431,1165,78,145,0.987,San Francisco Giants,AT&T Park,3375882,99,97,SFG,SFN,SFN,164701500
2015,NL,SLN,STL,C,1,162,81,100,62,Y,N,N,N,647,5484,1386,288,39,137,506,1267,69,38,66,42,525,478,2.94,1,15,62,4394,1359,123,477,1329,96,159,0.984,St. Louis Cardinals,Busch Stadium III,3520889,102,101,STL,SLN,SLN,119241500
2015,AL,TBA,TBD,E,4,162,84,80,82,N,N,N,N,644,5485,1383,278,32,167,436,1310,87,45,84,47,642,604,3.74,1,12,60,4360,1314,175,477,1355,95,118,0.984,Tampa Bay Rays,Tropicana Field,1287054,100,102,TBR,TBA,TBA,64521233
2015,AL,TEX,TEX,W,1,162,81,88,74,Y,N,N,N,751,5511,1419,279,32,172,503,1233,101,39,76,54,733,680,4.24,5,9,45,4328,1459,171,508,1095,119,169,0.981,Texas Rangers,Rangers Ballpark in Arlington,2491875,102,105,TEX,TEX,TEX,143742789
2015,AL,TOR,TOR,E,1,162,81,93,69,Y,N,N,N,891,5509,1480,308,17,232,570,1151,88,23,54,62,670,609,3.8,7,10,34,4323,1353,173,397,1117,88,145,0.985,Toronto Blue Jays,Rogers Centre,2794891,99,98,TOR,TOR,TOR,112992400
2015,NL,WAS,WSN,E,2,162,81,83,79,N,N,N,N,703,5428,1363,265,13,177,539,1344,57,23,44,51,635,577,3.62,4,13,41,4304,1366,145,364,1342,90,125,0.985,Washington Nationals,Nationals Park,2619843,102,99,WSN,MON,WAS,155587472
2016,NL,ARI,ARI,W,4,162,81,69,93,N,N,N,N,752,5665,1479,285,56,190,463,1427,137,31,50,38,890,821,5.09,2,7,31,4354,1563,202,603,1318,101,143,0.983,Arizona Diamondbacks,Chase Field,2036216,107,108,ARI,ARI,ARI,87439063
2016,NL,ATL,ATL,E,5,161,81,68,93,N,N,N,N,649,5514,1404,295,27,122,502,1240,75,34,59,52,779,725,4.51,1,9,39,4343,1414,177,547,1227,101,134,0.983,Atlanta Braves,Turner Field,2020914,102,104,ATL,ATL,ATL,68498291
2016,AL,BAL,BAL,E,2,162,81,89,73,N,Y,N,N,744,5524,1413,265,6,253,468,1324,19,13,44,36,715,671,4.22,1,9,54,4296,1408,183,545,1248,80,165,0.987,Baltimore Orioles,Oriole Park at Camden Yards,2172344,101,101,BAL,BAL,BAL,161863456
2016,AL,BOS,BOS,E,1,162,81,93,69,Y,N,N,N,878,5670,1598,343,25,208,558,1160,83,24,43,40,694,640,4,9,5,43,4319,1342,176,490,1362,75,139,0.987,Boston Red Sox,Fenway Park II,2955434,108,106,BOS,BOS,BOS,188545761
2016,AL,CHA,CHW,C,4,162,81,78,84,N,N,N,N,686,5550,1428,277,33,168,455,1285,77,36,53,44,715,659,4.1,7,10,43,4340,1422,185,521,1270,95,148,0.984,Chicago White Sox,U.S. Cellular Field,1746293,96,97,CHW,CHA,CHA,112998667
2016,NL,CHN,CHC,C,1,162,81,103,58,Y,N,Y,Y,808,5503,1409,293,30,199,656,1339,66,34,96,37,556,511,3.15,5,15,38,4379,1125,163,495,1441,101,116,0.983,Chicago Cubs,Wrigley Field,3232420,95,93,CHC,CHN,CHN,154067668
2016,NL,CIN,CIN,C,5,162,81,68,94,N,N,N,N,716,5487,1403,277,33,164,452,1284,139,51,52,44,854,786,4.91,2,8,28,4326,1457,258,636,1241,102,142,0.983,Cincinnati Reds,Great American Ball Park,1894085,99,100,CIN,CIN,CIN,88940059
2016,AL,CLE,CLE,C,1,161,80,94,67,Y,N,Y,N,777,5484,1435,308,29,185,531,1246,134,31,49,60,676,617,3.84,5,11,37,4335,1330,186,461,1398,89,126,0.985,Cleveland Indians,Progressive Field,1591667,110,109,CLE,CLE,CLE,74311900
2016,NL,COL,COL,W,3,162,81,75,87,N,N,N,N,845,5614,1544,318,47,204,494,1330,66,39,40,34,860,779,4.91,2,9,37,4288,1532,181,547,1223,110,148,0.982,Colorado Rockies,Coors Field,2602524,117,117,COL,COL,COL,112645071
2016,AL,DET,DET,C,2,161,81,86,75,N,N,N,N,750,5526,1476,252,30,211,493,1303,58,29,53,38,721,672,4.24,3,8,47,4284,1417,182,462,1232,75,148,0.987,Detroit Tigers,Comerica Park,2493859,101,101,DET,DET,DET,194876481
2016,AL,HOU,HOU,W,3,162,81,84,78,N,N,N,N,724,5545,1367,291,29,198,554,1452,102,44,47,31,701,663,4.06,2,8,44,4404,1441,181,453,1396,77,135,0.987,Houston Astros,Minute Maid Park,2306623,90,89,HOU,HOU,HOU,94893700
2016,AL,KCA,KCR,C,3,162,81,81,81,N,N,N,N,675,5552,1450,264,33,147,382,1224,121,35,45,34,712,674,4.21,3,7,41,4320,1433,206,517,1287,94,134,0.984,Kansas City Royals,Kauffman Stadium,2557712,105,106,KCR,KCA,KCA,131487125
2016,AL,LAA,ANA,W,4,162,81,74,88,N,N,N,N,717,5431,1410,279,20,156,471,991,73,34,51,49,727,676,4.28,4,12,29,4264,1480,208,498,1136,97,148,0.983,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3016142,95,95,LAA,ANA,ANA,137251333
2016,NL,LAN,LAD,W,1,162,81,91,71,Y,N,N,N,725,5518,1376,272,21,189,525,1321,45,26,58,32,638,598,3.7,3,15,47,4359,1266,165,464,1510,80,101,0.986,Los Angeles Dodgers,Dodger Stadium,3703312,93,92,LAD,LAN,LAN,221288380
2016,NL,MIA,FLA,E,3,161,80,79,82,N,N,N,N,655,5547,1460,259,42,128,447,1213,71,28,54,38,682,646,4.05,0,12,55,4305,1358,152,595,1379,86,137,0.985,Miami Marlins,Marlins Park,1712417,93,93,MIA,FLO,MIA,77314202
